 train       observed       predicted
 y     1.046313E+01     1.088582E+01
 y     1.338473E+01     1.339529E+01
 y     1.331711E+01     1.312921E+01
 y     1.187758E+01     1.154815E+01
 y     1.230139E+01     1.226963E+01
 y     1.205778E+01     1.197715E+01
 y     1.173608E+01     1.163288E+01
 y     1.246844E+01     1.241596E+01
 y     1.272932E+01     1.273520E+01
 y     1.053212E+01     1.065674E+01
 y     1.147731E+01     1.122177E+01
 y     1.334391E+01     1.303051E+01
 y     1.256724E+01     1.255282E+01
 y     1.313232E+01     1.294803E+01
 y     1.181304E+01     1.170703E+01
 y     1.315192E+01     1.258202E+01
 y     1.283468E+01     1.279458E+01
 y     1.179811E+01     1.180675E+01
 y     1.238934E+01     1.253226E+01
 y     1.106665E+01     1.141404E+01
 y     1.173608E+01     1.156866E+01
 y     1.204884E+01     1.144989E+01
 y     1.186710E+01     1.156824E+01
 y     1.168521E+01     1.087364E+01
 y     1.198294E+01     1.194330E+01
 y     1.163957E+01     1.175930E+01
 y     1.238840E+01     1.201443E+01
 y     1.195119E+01     1.160394E+01
 y     1.440052E+01     1.402707E+01
 y     1.241106E+01     1.243313E+01
 y     1.220107E+01     1.263561E+01
 y     1.060911E+01     1.170269E+01
 y     1.128979E+01     1.159493E+01
 y     1.046313E+01     1.073817E+01
 y     1.308154E+01     1.288840E+01
 y     1.205778E+01     1.199628E+01
 y     1.288538E+01     1.266383E+01
 y     1.160824E+01     1.173544E+01
 y     1.160824E+01     1.154248E+01
 y     1.105881E+01     1.112958E+01
 y     1.318063E+01     1.290846E+01
 y     1.230139E+01     1.231151E+01
 y     1.256375E+01     1.243016E+01
 y     1.212812E+01     1.222165E+01
 y     1.100212E+01     1.108827E+01
 y     1.096822E+01     1.070180E+01
 y     1.244902E+01     1.211759E+01
 y     1.337701E+01     1.293572E+01
 y     1.232608E+01     1.213782E+01
 y     1.126062E+01     1.192719E+01
 y     1.214620E+01     1.195183E+01
 y     1.125157E+01     1.156311E+01
 y     1.298540E+01     1.249657E+01
 y     1.125157E+01     1.109267E+01
 y     1.201975E+01     1.194555E+01
 y     1.389709E+01     1.377151E+01
 y     9.554001E+00     1.050441E+01
 y     1.057134E+01     1.075397E+01
 y     1.307107E+01     1.279624E+01
 y     1.257695E+01     1.249267E+01
 y     1.276541E+01     1.260566E+01
 y     1.230139E+01     1.224142E+01
 y     1.181304E+01     1.189901E+01
 y     1.191840E+01     1.188199E+01
 y     1.205816E+01     1.211042E+01
 y     1.295985E+01     1.294890E+01
 y     1.229225E+01     1.196654E+01
 y     1.188450E+01     1.202988E+01
 y     1.289922E+01     1.279449E+01
 y     1.195119E+01     1.169586E+01
 y     1.416968E+01     1.388133E+01
 y     1.132057E+01     1.227617E+01
 y     1.174405E+01     1.177963E+01
 y     1.282126E+01     1.290847E+01
 y     1.146164E+01     1.118902E+01
 y     1.142955E+01     1.101239E+01
 y     1.081980E+01     1.146313E+01
 y     1.124608E+01     1.146929E+01
 y     1.266033E+01     1.259505E+01
 y     1.100212E+01     1.129868E+01
 y     1.174149E+01     1.202453E+01
 y     1.257591E+01     1.239813E+01
 y     1.160824E+01     1.124529E+01
 y     1.177530E+01     1.162479E+01
 y     1.261154E+01     1.300711E+01
 y     1.257729E+01     1.248361E+01
 y     1.266350E+01     1.255817E+01
 y     1.171178E+01     1.170740E+01
 y     1.217819E+01     1.220942E+01
 y     1.205816E+01     1.262208E+01
 y     1.204356E+01     1.199805E+01
 y     1.225962E+01     1.217061E+01
 y     1.254255E+01     1.267801E+01
 y     1.197667E+01     1.193053E+01
 y     1.215478E+01     1.214751E+01
 y     1.181304E+01     1.212608E+01
 y     1.223077E+01     1.210668E+01
 y     1.165530E+01     1.142614E+01
 y     1.046119E+01     1.102977E+01
 y     1.115626E+01     1.121042E+01
 y     1.387849E+01     1.392151E+01
 y     1.254255E+01     1.252538E+01
 y     1.051870E+01     1.101987E+01
 y     1.077898E+01     1.133986E+01
 y     1.191806E+01     1.174801E+01
 y     1.261154E+01     1.271482E+01
 y     1.077898E+01     1.111990E+01
 y     1.240861E+01     1.226237E+01
 y     1.289922E+01     1.274856E+01
 y     1.301701E+01     1.285806E+01
 y     1.295985E+01     1.293397E+01
 y     1.250618E+01     1.254243E+01
 y     1.191840E+01     1.159445E+01
 y     9.928229E+00     1.097924E+01
 y     1.168689E+01     1.122516E+01
 y     1.108216E+01     1.139605E+01
 y     1.272189E+01     1.236474E+01
 y     1.165270E+01     1.097389E+01
 y     1.191840E+01     1.208696E+01
 y     1.246844E+01     1.250895E+01
 y     1.311232E+01     1.299430E+01
 y     1.126448E+01     1.141681E+01
 y     1.184940E+01     1.106598E+01
 y     1.230093E+01     1.238657E+01
 y     9.680406E+00     1.039894E+01
 y     1.208391E+01     1.203575E+01
 y     1.205526E+01     1.203445E+01
 y     1.071444E+01     1.126241E+01
 y     1.089676E+01     1.091375E+01
 y     1.249875E+01     1.257005E+01
 y     1.369334E+01     1.345651E+01
 y     1.304979E+01     1.278212E+01
 y     1.108216E+01     1.140952E+01
 y     1.261487E+01     1.225479E+01
 y     1.195119E+01     1.091737E+01
 y     1.323569E+01     1.274424E+01
 y     1.215478E+01     1.156869E+01
 y     1.316925E+01     1.295420E+01
 y     1.256025E+01     1.239610E+01
 y     9.998843E+00     1.094032E+01
 y     1.228351E+01     1.231095E+01
 y     1.235018E+01     1.229410E+01
 y     1.210072E+01     1.221342E+01
 y     1.210072E+01     1.179802E+01
 y     1.257072E+01     1.244404E+01
 y     1.350763E+01     1.332394E+01
 y     9.898525E+00     1.058751E+01
 y     1.238840E+01     1.211684E+01
 y     1.203173E+01     1.192281E+01
 y     1.327594E+01     1.309015E+01
 y     1.081980E+01     1.096261E+01
 y     1.225009E+01     1.207110E+01
 y     1.100212E+01     1.113951E+01
 y     1.291902E+01     1.298167E+01
 y     1.195119E+01     1.166922E+01
 y     1.230139E+01     1.208515E+01
 y     1.248749E+01     1.255820E+01
 y     1.078934E+01     1.149970E+01
 y     1.095082E+01     1.161537E+01
 y     1.294036E+01     1.283111E+01
 y     1.324635E+01     1.251515E+01
 y     1.244902E+01     1.242062E+01
 y     1.161378E+01     1.237441E+01
 y     1.128979E+01     1.166083E+01
 y     1.277167E+01     1.277561E+01
 y     1.191840E+01     1.184584E+01
 y     1.225009E+01     1.212577E+01
 y     1.320671E+01     1.304917E+01
 y     1.257764E+01     1.248076E+01
 y     1.287390E+01     1.254075E+01
 y     1.252453E+01     1.248732E+01
 y     1.210764E+01     1.197083E+01
 y     1.251540E+01     1.224625E+01
 y     1.246844E+01     1.256581E+01
 y     1.326560E+01     1.284437E+01
 y     1.256550E+01     1.260641E+01
 y     1.249875E+01     1.256160E+01
 y     1.232386E+01     1.208888E+01
 y     1.151294E+01     1.157881E+01
 y     1.037352E+01     1.092811E+01
 y     1.241614E+01     1.189347E+01
 y     1.231493E+01     1.256304E+01
 y     1.261819E+01     1.244095E+01
 y     1.145106E+01     1.135399E+01
 y     1.235450E+01     1.220457E+01
 y     1.286747E+01     1.305722E+01
 y     1.184798E+01     1.184062E+01
 y     1.277988E+01     1.245720E+01
 y     1.316734E+01     1.291936E+01
 y     1.248371E+01     1.217600E+01
 y     1.239670E+01     1.250991E+01
 y     1.179056E+01     1.160978E+01
 y     1.384020E+01     1.303364E+01
 y     1.242521E+01     1.237799E+01
 y     1.082975E+01     1.122194E+01
 y     1.350080E+01     1.350718E+01
 y     1.210072E+01     1.193386E+01
 y     1.115626E+01     1.053100E+01
 y     1.343718E+01     1.290296E+01
 y     1.220107E+01     1.184492E+01
 y     9.957550E+00     1.058267E+01
 y     1.190835E+01     1.199098E+01
 y     1.236735E+01     1.260508E+01
 y     1.240902E+01     1.219493E+01
 y     1.305836E+01     1.290568E+01
 y     1.227840E+01     1.230082E+01
 y     1.229455E+01     1.252621E+01
 y     1.370458E+01     1.379130E+01
 y     1.091511E+01     1.081324E+01
 y     1.273376E+01     1.242449E+01
 y     1.184940E+01     1.190095E+01
 y     1.317116E+01     1.238603E+01
 y     1.223564E+01     1.235111E+01
 y     1.179435E+01     1.225560E+01
 y     1.140758E+01     1.129557E+01
 y     1.257764E+01     1.276218E+01
 y     1.188450E+01     1.126598E+01
 y     1.095082E+01     1.124052E+01
 y     9.846970E+00     1.066370E+01
 y     1.292999E+01     1.241884E+01
 y     1.234584E+01     1.233163E+01
 y     1.158526E+01     1.206908E+01
 y     1.040429E+01     1.039720E+01
 y     1.273670E+01     1.209342E+01
 y     1.227793E+01     1.174710E+01
 y     1.124507E+01     1.141590E+01
 y     1.304548E+01     1.252721E+01
 y     1.287390E+01     1.259857E+01
 y     1.168689E+01     1.153241E+01
 y     1.186359E+01     1.163753E+01
 y     9.903538E+00     1.056083E+01
 y     1.208954E+01     1.205235E+01
 y     1.192504E+01     1.242279E+01
 y     1.342247E+01     1.315622E+01
 y     1.201371E+01     1.152410E+01
 y     1.202576E+01     1.155222E+01
 y     1.281312E+01     1.259131E+01
 y     1.335348E+01     1.303932E+01
 y     1.321768E+01     1.245191E+01
 y     1.262149E+01     1.208344E+01
 y     1.287390E+01     1.295204E+01
 y     1.137367E+01     1.176630E+01
 y     1.004763E+01     1.083771E+01
 y     1.328788E+01     1.352766E+01
 y     1.331546E+01     1.283000E+01
 y     1.280491E+01     1.269486E+01
 y     1.095082E+01     1.087503E+01
 y     1.073642E+01     1.120801E+01
 y     1.372120E+01     1.297370E+01
 y     1.300583E+01     1.325738E+01
 y     1.285579E+01     1.315653E+01
 y     1.232386E+01     1.210839E+01
 y     1.257072E+01     1.229687E+01
 y     1.280766E+01     1.263449E+01
 y     1.248749E+01     1.200310E+01
 y     1.356062E+01     1.298168E+01
