 train       observed       predicted
 y     1.191840E+01     1.202828E+01
 y     1.230139E+01     1.245303E+01
 y     1.361094E+01     1.358283E+01
 y     1.204356E+01     1.185235E+01
 y     1.100045E+01     1.098310E+01
 y     1.280766E+01     1.252153E+01
 y     1.230093E+01     1.229816E+01
 y     1.086859E+01     1.094976E+01
 y     1.292878E+01     1.277802E+01
 y     1.050509E+01     1.188466E+01
 y     1.142955E+01     1.188466E+01
 y     1.277423E+01     1.263537E+01
 y     1.301478E+01     1.297343E+01
 y     1.071444E+01     1.118758E+01
 y     1.184940E+01     1.216415E+01
 y     1.100212E+01     1.131317E+01
 y     1.309191E+01     1.249264E+01
 y     1.284793E+01     1.281043E+01
 y     1.342247E+01     1.336240E+01
 y     1.258622E+01     1.234795E+01
 y     1.210072E+01     1.222480E+01
 y     1.202576E+01     1.160822E+01
 y     1.238422E+01     1.246814E+01
 y     1.243719E+01     1.234433E+01
 y     1.367049E+01     1.362811E+01
 y     1.148248E+01     1.119900E+01
 y     1.171178E+01     1.178884E+01
 y     1.334551E+01     1.346872E+01
 y     1.096055E+01     1.141650E+01
 y     1.315483E+01     1.304527E+01
 y     1.272189E+01     1.303952E+01
 y     1.218076E+01     1.226617E+01
 y     1.239256E+01     1.259552E+01
 y     1.167760E+01     1.154161E+01
 y     9.903538E+00     1.127340E+01
 y     1.238840E+01     1.214035E+01
 y     1.266981E+01     1.248217E+01
 y     1.238840E+01     1.268765E+01
 y     1.411562E+01     1.380837E+01
 y     1.252816E+01     1.213382E+01
 y     1.422098E+01     1.412384E+01
 y     1.091511E+01     1.139294E+01
 y     1.359224E+01     1.343539E+01
 y     1.183502E+01     1.138222E+01
 y     1.331958E+01     1.344955E+01
 y     1.122192E+01     1.155396E+01
 y     1.412667E+01     1.375998E+01
 y     1.360479E+01     1.352208E+01
 y     1.310012E+01     1.265441E+01
 y     1.207198E+01     1.123259E+01
 y     1.277988E+01     1.283489E+01
 y     1.338473E+01     1.320099E+01
 y     1.257419E+01     1.242223E+01
 y     1.196401E+01     1.191530E+01
 y     1.289922E+01     1.256525E+01
 y     1.100212E+01     1.137928E+01
 y     1.269772E+01     1.260879E+01
 y     1.287466E+01     1.312241E+01
 y     1.158990E+01     1.151234E+01
 y     1.114188E+01     1.154075E+01
 y     1.269158E+01     1.251952E+01
 y     1.218076E+01     1.202081E+01
 y     1.248749E+01     1.254770E+01
 y     1.340754E+01     1.333670E+01
 y     1.135042E+01     1.130112E+01
 y     1.135042E+01     1.150082E+01
 y     1.158059E+01     1.184831E+01
 y     1.181304E+01     1.203430E+01
 y     1.137941E+01     1.205862E+01
 y     1.244902E+01     1.211285E+01
 y     1.272189E+01     1.196587E+01
 y     1.242922E+01     1.216976E+01
 y     1.244902E+01     1.254207E+01
 y     1.266033E+01     1.270214E+01
 y     1.244902E+01     1.279754E+01
 y     1.287647E+01     1.282323E+01
 y     1.273670E+01     1.291092E+01
 y     1.272932E+01     1.265471E+01
 y     1.297803E+01     1.272583E+01
 y     1.054537E+01     1.124623E+01
 y     1.160824E+01     1.218285E+01
 y     1.207255E+01     1.230866E+01
 y     1.223077E+01     1.208185E+01
 y     1.151294E+01     1.199208E+01
 y     1.177530E+01     1.189490E+01
 y     1.040429E+01     1.093341E+01
 y     1.105487E+01     1.093588E+01
 y     1.131449E+01     1.139842E+01
 y     1.355544E+01     1.343248E+01
 y     1.232386E+01     1.228793E+01
 y     1.118444E+01     1.174364E+01
 y     1.195119E+01     1.143214E+01
 y     1.324458E+01     1.317145E+01
 y     1.106665E+01     1.146331E+01
 y     1.215478E+01     1.165903E+01
 y     1.024888E+01     1.096383E+01
 y     1.165270E+01     1.201383E+01
 y     1.327937E+01     1.279303E+01
 y     1.277988E+01     1.291880E+01
 y     1.148248E+01     1.159493E+01
 y     1.283468E+01     1.259280E+01
 y     1.047732E+01     1.113686E+01
 y     1.344155E+01     1.308267E+01
 y     1.100045E+01     1.187868E+01
 y     1.086859E+01     1.187760E+01
 y     1.238840E+01     1.223897E+01
 y     1.223564E+01     1.236947E+01
 y     1.196719E+01     1.234178E+01
 y     1.119823E+01     1.138514E+01
 y     1.173608E+01     1.137588E+01
 y     1.167945E+01     1.172813E+01
 y     1.242922E+01     1.237725E+01
 y     1.064545E+01     1.113319E+01
 y     1.203766E+01     1.207843E+01
 y     1.293604E+01     1.273988E+01
 y     1.237582E+01     1.271479E+01
 y     1.174325E+01     1.186493E+01
 y     1.207540E+01     1.175221E+01
 y     1.121521E+01     1.111356E+01
 y     1.177530E+01     1.168682E+01
 y     1.258793E+01     1.249834E+01
 y     1.242922E+01     1.276664E+01
 y     1.320854E+01     1.302645E+01
 y     1.313232E+01     1.289806E+01
 y     1.172804E+01     1.159078E+01
 y     1.071444E+01     1.129515E+01
 y     1.373213E+01     1.385977E+01
 y     1.151294E+01     1.142975E+01
 y     1.234520E+01     1.259090E+01
 y     1.195213E+01     1.231978E+01
 y     1.284793E+01     1.248728E+01
 y     1.205816E+01     1.094077E+01
 y     1.201371E+01     1.229873E+01
 y     1.257729E+01     1.230219E+01
 y     1.296921E+01     1.326557E+01
 y     1.266981E+01     1.237961E+01
 y     1.102681E+01     1.132076E+01
 y     1.373213E+01     1.383111E+01
 y     1.198294E+01     1.211934E+01
 y     1.357344E+01     1.334930E+01
 y     1.276283E+01     1.271886E+01
 y     1.008585E+01     1.059520E+01
 y     1.210016E+01     1.203699E+01
 y     1.338010E+01     1.275952E+01
 y     1.270685E+01     1.227932E+01
 y     1.151294E+01     1.202519E+01
 y     1.352783E+01     1.344861E+01
 y     1.259473E+01     1.258388E+01
 y     1.358610E+01     1.326395E+01
 y     1.075792E+01     1.115354E+01
 y     1.258451E+01     1.260823E+01
 y     1.434614E+01     1.401659E+01
 y     1.230139E+01     1.238966E+01
 y     1.122526E+01     1.169720E+01
 y     1.122526E+01     1.134655E+01
 y     1.185652E+01     1.134106E+01
 y     9.629116E+00     1.039650E+01
 y     1.087807E+01     1.112678E+01
 y     1.167845E+01     1.153466E+01
 y     1.289922E+01     1.240886E+01
 y     1.137252E+01     1.143658E+01
 y     1.204356E+01     1.193358E+01
 y     1.224530E+01     1.209402E+01
 y     1.208954E+01     1.207095E+01
 y     1.291657E+01     1.285186E+01
 y     1.158526E+01     1.186477E+01
 y     1.062135E+01     1.107945E+01
 y     1.027509E+01     1.085488E+01
 y     1.264110E+01     1.258477E+01
 y     1.115626E+01     1.076820E+01
 y     1.381551E+01     1.329377E+01
 y     1.275130E+01     1.271053E+01
 y     1.183502E+01     1.181770E+01
 y     1.269158E+01     1.263508E+01
 y     1.133381E+01     1.206302E+01
 y     1.190835E+01     1.203114E+01
 y     1.201371E+01     1.191573E+01
 y     1.177607E+01     1.197980E+01
 y     1.022561E+01     1.132177E+01
 y     1.168689E+01     1.175073E+01
 y     1.318063E+01     1.307943E+01
 y     1.029718E+01     1.166816E+01
 y     1.357979E+01     1.315815E+01
 y     1.246844E+01     1.214951E+01
 y     1.183502E+01     1.120785E+01
 y     1.137367E+01     1.150764E+01
 y     1.143389E+01     1.122276E+01
 y     1.234584E+01     1.162959E+01
 y     1.071444E+01     1.095932E+01
 y     1.373213E+01     1.349931E+01
 y     1.351441E+01     1.315247E+01
 y     1.175588E+01     1.171004E+01
 y     1.204061E+01     1.200733E+01
 y     1.275130E+01     1.260743E+01
 y     1.326213E+01     1.311236E+01
 y     1.182042E+01     1.175041E+01
 y     1.376422E+01     1.373180E+01
 y     1.046313E+01     1.104228E+01
 y     1.232386E+01     1.218195E+01
 y     1.223077E+01     1.164278E+01
 y     1.115626E+01     1.185058E+01
 y     1.101865E+01     1.110746E+01
 y     1.262807E+01     1.211763E+01
 y     1.013464E+01     1.056760E+01
 y     1.247610E+01     1.251918E+01
 y     1.122526E+01     1.069179E+01
 y     1.204356E+01     1.196734E+01
 y     1.252453E+01     1.250828E+01
 y     1.127722E+01     1.145868E+01
 y     1.141863E+01     1.174821E+01
 y     1.362314E+01     1.319519E+01
 y     1.212438E+01     1.222097E+01
 y     1.240761E+01     1.227842E+01
 y     1.170355E+01     1.122076E+01
 y     1.276569E+01     1.281920E+01
 y     1.128979E+01     1.167233E+01
 y     1.242521E+01     1.233326E+01
 y     1.369334E+01     1.294805E+01
 y     1.280766E+01     1.244683E+01
 y     1.249875E+01     1.207692E+01
 y     1.200763E+01     1.198670E+01
 y     1.130837E+01     1.128022E+01
 y     1.223077E+01     1.198139E+01
 y     1.020363E+01     1.049353E+01
 y     1.269158E+01     1.256456E+01
 y     1.244902E+01     1.284396E+01
 y     1.227840E+01     1.205355E+01
 y     1.167845E+01     1.157496E+01
 y     1.065963E+01     1.095655E+01
 y     1.079960E+01     1.127078E+01
 y     1.024566E+01     1.141859E+01
 y     1.300583E+01     1.305056E+01
 y     1.205526E+01     1.243127E+01
 y     1.169108E+01     1.164291E+01
 y     1.117045E+01     1.159452E+01
 y     1.195119E+01     1.166013E+01
 y     1.169526E+01     1.131013E+01
 y     1.308466E+01     1.296135E+01
 y     1.261121E+01     1.253316E+01
 y     1.254255E+01     1.210531E+01
 y     1.368995E+01     1.288991E+01
 y     1.275130E+01     1.288418E+01
 y     9.888628E+00     1.140884E+01
 y     9.635412E+00     1.117036E+01
 y     1.291780E+01     1.276136E+01
 y     1.128979E+01     1.163021E+01
 y     1.187235E+01     1.193555E+01
 y     1.145637E+01     1.183786E+01
 y     1.318063E+01     1.315283E+01
 y     1.106665E+01     1.157609E+01
 y     1.272189E+01     1.287009E+01
 y     1.254255E+01     1.204909E+01
 y     1.228304E+01     1.201071E+01
 y     1.261819E+01     1.265164E+01
 y     1.290669E+01     1.232961E+01
 y     1.204356E+01     1.203570E+01
 y     1.223077E+01     1.203570E+01
 y     1.227840E+01     1.251827E+01
 y     1.029218E+01     1.101688E+01
 y     1.262807E+01     1.240039E+01
 y     1.279386E+01     1.256812E+01
 y     1.190497E+01     1.219289E+01
 y     1.086859E+01     1.082310E+01
 y     1.167079E+01     1.184701E+01
 y     1.207255E+01     1.099542E+01
 y     1.258108E+01     1.273584E+01
 y     1.340000E+01     1.335106E+01
 y     1.230139E+01     1.238544E+01
 y     1.288664E+01     1.292647E+01
 y     1.268850E+01     1.249779E+01
 y     1.295985E+01     1.291849E+01
 y     1.246806E+01     1.256922E+01
 y     1.261154E+01     1.246178E+01
 y     1.115626E+01     1.158261E+01
 y     1.260820E+01     1.244732E+01
 y     1.267295E+01     1.286463E+01
 y     1.283468E+01     1.261769E+01
 y     1.267138E+01     1.234559E+01
 y     1.068054E+01     1.130366E+01
 y     1.146164E+01     1.035634E+01
 y     1.225487E+01     1.241197E+01
 y     1.238840E+01     1.199099E+01
 y     1.146164E+01     1.160549E+01
 y     1.256724E+01     1.259944E+01
 y     1.336138E+01     1.272661E+01
 y     1.191840E+01     1.182863E+01
 y     1.301701E+01     1.321898E+01
 y     1.124506E+01     1.170550E+01
 y     1.195054E+01     1.179122E+01
 y     1.264835E+01     1.267616E+01
 y     1.154249E+01     1.146443E+01
 y     1.215478E+01     1.202801E+01
 y     1.359237E+01     1.261778E+01
 y     1.207540E+01     1.202297E+01
 y     1.193493E+01     1.156085E+01
 y     1.281720E+01     1.259982E+01
 y     1.260820E+01     1.085735E+01
 y     1.005578E+01     1.039369E+01
 y     1.236308E+01     1.238561E+01
 y     9.903538E+00     1.093474E+01
 y     1.338473E+01     1.319599E+01
 y     1.309191E+01     1.293611E+01
 y     1.002796E+01     1.098786E+01
 y     1.289169E+01     1.291257E+01
 y     1.147731E+01     1.152767E+01
 y     1.237582E+01     1.218573E+01
 y     1.197667E+01     1.157299E+01
 y     1.115626E+01     1.106279E+01
 y     1.242922E+01     1.213243E+01
 y     1.233711E+01     1.246122E+01
 y     1.294801E+01     1.269933E+01
 y     1.213887E+01     1.148228E+01
 y     1.103006E+01     1.164690E+01
 y     1.270685E+01     1.237687E+01
 y     1.199536E+01     1.237537E+01
 y     1.218076E+01     1.189940E+01
 y     1.220608E+01     1.189940E+01
 y     9.878221E+00     1.105426E+01
 y     1.091329E+01     1.161483E+01
 y     1.191840E+01     1.202744E+01
 y     1.295985E+01     1.292435E+01
 y     1.238422E+01     1.193341E+01
 y     9.680406E+00     1.121995E+01
 y     1.046598E+01     1.095744E+01
 y     1.133858E+01     1.152462E+01
 y     1.287390E+01     1.268824E+01
 y     1.075792E+01     1.096702E+01
 y     1.273240E+01     1.308666E+01
 y     1.223077E+01     1.209849E+01
 y     1.380040E+01     1.272315E+01
 y     1.175979E+01     1.152991E+01
 y     1.325339E+01     1.221512E+01
 y     1.391082E+01     1.398533E+01
 y     1.240902E+01     1.214407E+01
 y     1.146164E+01     1.120808E+01
 y     1.183139E+01     1.159250E+01
 y     1.135042E+01     1.161771E+01
 y     1.181304E+01     1.169679E+01
 y     9.305741E+00     1.086691E+01
 y     1.158059E+01     1.150507E+01
 y     1.225439E+01     1.198943E+01
 y     1.253358E+01     1.233112E+01
 y     1.293604E+01     1.276443E+01
 y     1.282800E+01     1.259685E+01
 y     1.173608E+01     1.119181E+01
 y     1.306049E+01     1.243172E+01
 y     1.189137E+01     1.137422E+01
 y     1.037352E+01     1.150555E+01
 y     1.254967E+01     1.261197E+01
 y     1.072549E+01     1.120310E+01
 y     1.254967E+01     1.265090E+01
 y     1.247801E+01     1.152560E+01
 y     1.268231E+01     1.245037E+01
 y     1.223077E+01     1.307279E+01
 y     1.234584E+01     1.250206E+01
 y     1.326213E+01     1.344401E+01
 y     1.259473E+01     1.272324E+01
 y     1.231941E+01     1.235960E+01
 y     1.229683E+01     1.207738E+01
 y     1.211451E+01     1.186163E+01
 y     1.284793E+01     1.272209E+01
 y     1.220357E+01     1.154001E+01
 y     1.156173E+01     1.153741E+01
 y     1.218025E+01     1.171354E+01
 y     1.215478E+01     1.172626E+01
 y     1.274549E+01     1.272940E+01
 y     1.218076E+01     1.171338E+01
 y     1.113460E+01     1.149063E+01
 y     1.188450E+01     1.166641E+01
 y     1.350080E+01     1.271055E+01
 y     1.034965E+01     1.047347E+01
 y     1.151043E+01     1.148904E+01
 y     1.133858E+01     1.161736E+01
 y     1.236735E+01     1.222959E+01
 y     1.275420E+01     1.234357E+01
 y     1.130222E+01     1.126661E+01
 y     1.295985E+01     1.308326E+01
 y     1.235880E+01     1.218535E+01
 y     1.211067E+01     1.186253E+01
 y     1.220608E+01     1.228514E+01
 y     1.327594E+01     1.287458E+01
 y     1.169526E+01     1.210817E+01
 y     1.193493E+01     1.211168E+01
 y     1.016589E+01     1.028910E+01
 y     1.244706E+01     1.269518E+01
 y     1.471160E+01     1.379501E+01
 y     1.276569E+01     1.257773E+01
 y     1.254255E+01     1.258381E+01
 y     1.285449E+01     1.256899E+01
 y     1.267608E+01     1.260643E+01
 y     1.252816E+01     1.281483E+01
 y     1.073642E+01     1.095768E+01
 y     1.468680E+01     1.395909E+01
 y     1.263623E+01     1.262816E+01
 y     1.073642E+01     1.113704E+01
 y     1.206969E+01     1.174722E+01
 y     1.463749E+01     1.398403E+01
 y     1.244706E+01     1.237516E+01
 y     1.201371E+01     1.211462E+01
 y     1.450616E+01     1.435800E+01
 y     1.343352E+01     1.315259E+01
 y     1.188450E+01     1.168897E+01
 y     1.233271E+01     1.222103E+01
 y     1.225962E+01     1.181063E+01
 y     1.230139E+01     1.191871E+01
 y     1.267608E+01     1.267441E+01
 y     1.177453E+01     1.157546E+01
 y     1.071444E+01     1.088168E+01
 y     1.391082E+01     1.363440E+01
 y     1.177530E+01     1.191032E+01
 y     1.100010E+01     1.130877E+01
 y     1.223564E+01     1.236404E+01
 y     1.181304E+01     1.169390E+01
 y     1.302805E+01     1.285541E+01
 y     1.228766E+01     1.129698E+01
 y     1.267608E+01     1.264767E+01
 y     1.239256E+01     1.242814E+01
 y     1.140758E+01     1.184467E+01
 y     1.115626E+01     1.151087E+01
 y     1.243321E+01     1.206604E+01
 y     1.181267E+01     1.153330E+01
 y     1.252453E+01     1.245204E+01
 y     1.213351E+01     1.214473E+01
 y     1.230139E+01     1.223921E+01
 y     1.182409E+01     1.222430E+01
 y     1.176758E+01     1.188190E+01
 y     1.246844E+01     1.219797E+01
 y     1.181304E+01     1.210142E+01
 y     1.184940E+01     1.181194E+01
 y     1.304332E+01     1.307305E+01
 y     1.270306E+01     1.285686E+01
 y     1.283468E+01     1.285495E+01
 y     1.292635E+01     1.298120E+01
 y     1.323830E+01     1.343445E+01
 y     1.262149E+01     1.264510E+01
 y     1.230139E+01     1.226700E+01
 y     1.236735E+01     1.220364E+01
 y     1.181968E+01     1.160358E+01
 y     1.171587E+01     1.156686E+01
 y     1.140758E+01     1.237678E+01
 y     1.334551E+01     1.341363E+01
 y     1.310928E+01     1.258189E+01
 y     1.091692E+01     1.155244E+01
 y     1.158059E+01     1.163034E+01
 y     1.291164E+01     1.282765E+01
 y     1.191840E+01     1.203929E+01
 y     1.220558E+01     1.220441E+01
 y     1.407788E+01     1.299830E+01
 y     1.292878E+01     1.296267E+01
 y     1.374294E+01     1.345173E+01
 y     1.301478E+01     1.286495E+01
 y     9.903538E+00     1.234143E+01
 y     1.151294E+01     1.150264E+01
 y     1.220107E+01     1.186830E+01
 y     1.248749E+01     1.252802E+01
 y     1.292391E+01     1.283658E+01
 y     1.178677E+01     1.137785E+01
 y     1.003684E+01     1.143982E+01
 y     1.352650E+01     1.355917E+01
 y     1.250618E+01     1.196823E+01
 y     1.256200E+01     1.235977E+01
 y     1.195119E+01     1.173239E+01
 y     1.259473E+01     1.262209E+01
 y     1.359237E+01     1.325151E+01
 y     1.297618E+01     1.291839E+01
 y     1.324900E+01     1.301207E+01
 y     1.292391E+01     1.282532E+01
 y     1.307107E+01     1.290350E+01
 y     9.998843E+00     1.215481E+01
 y     1.338473E+01     1.338337E+01
 y     1.368483E+01     1.353820E+01
 y     1.286100E+01     1.308081E+01
 y     9.809232E+00     1.021251E+01
 y     1.289922E+01     1.282534E+01
 y     1.237371E+01     1.247358E+01
 y     1.287647E+01     1.275616E+01
 y     1.207255E+01     1.254526E+01
 y     1.360479E+01     1.346148E+01
 y     1.220107E+01     1.199449E+01
 y     1.369898E+01     1.383172E+01
 y     1.302523E+01     1.274555E+01
 y     1.071444E+01     1.170791E+01
 y     1.435347E+01     1.423938E+01
 y     1.333748E+01     1.334482E+01
 y     1.279386E+01     1.274076E+01
 y     1.403062E+01     1.401508E+01
 y     1.273670E+01     1.233916E+01
 y     1.330469E+01     1.327862E+01
 y     1.283468E+01     1.282760E+01
 y     1.248371E+01     1.228997E+01
 y     1.352783E+01     1.324728E+01
 y     1.262807E+01     1.260330E+01
 y     1.261154E+01     1.235128E+01
 y     1.375894E+01     1.383341E+01
 y     1.179056E+01     1.153609E+01
 y     1.239876E+01     1.275607E+01
 y     1.171260E+01     1.159676E+01
 y     1.203173E+01     1.190080E+01
 y     1.154249E+01     1.171357E+01
 y     1.280766E+01     1.258330E+01
 y     1.407788E+01     1.414256E+01
 y     1.356062E+01     1.347420E+01
 y     1.109743E+01     1.124374E+01
 y     1.140758E+01     1.200448E+01
 y     1.201310E+01     1.150056E+01
 y     1.084176E+01     1.116932E+01
 y     1.300583E+01     1.298733E+01
 y     1.212270E+01     1.183364E+01
 y     1.262807E+01     1.296618E+01
 y     9.615872E+00     1.053251E+01
 y     1.160824E+01     1.242872E+01
 y     1.200090E+01     1.168724E+01
 y     1.307423E+01     1.312934E+01
 y     1.273376E+01     1.268731E+01
 y     1.338088E+01     1.314322E+01
 y     1.265236E+01     1.259883E+01
 y     1.407788E+01     1.404546E+01
 y     1.239256E+01     1.266791E+01
 y     1.037452E+01     1.112734E+01
 y     1.008585E+01     1.045436E+01
 y     1.091511E+01     1.153703E+01
 y     1.156173E+01     1.145030E+01
 y     1.169526E+01     1.183592E+01
 y     1.275130E+01     1.248238E+01
 y     1.234670E+01     1.263980E+01
 y     1.291041E+01     1.252934E+01
 y     1.201371E+01     1.198992E+01
 y     1.226670E+01     1.205862E+01
 y     1.019675E+01     1.071026E+01
 y     1.254255E+01     1.266093E+01
 y     1.239773E+01     1.258959E+01
 y     1.302033E+01     1.293209E+01
 y     1.226435E+01     1.187057E+01
 y     1.212812E+01     1.193089E+01
 y     1.020363E+01     1.099047E+01
 y     1.182774E+01     1.165622E+01
 y     1.173688E+01     1.211238E+01
 y     1.315192E+01     1.305343E+01
 y     1.279247E+01     1.244182E+01
 y     1.286876E+01     1.286819E+01
 y     1.184224E+01     1.171039E+01
 y     1.296688E+01     1.276023E+01
 y     1.055844E+01     1.122073E+01
 y     1.177530E+01     1.150243E+01
 y     1.128979E+01     1.128043E+01
 y     1.227840E+01     1.228584E+01
 y     1.166994E+01     1.177712E+01
 y     1.315773E+01     1.283322E+01
 y     1.335348E+01     1.332324E+01
 y     1.193164E+01     1.200233E+01
 y     1.254255E+01     1.244286E+01
 y     1.365064E+01     1.370436E+01
 y     1.240082E+01     1.228267E+01
 y     1.306049E+01     1.302705E+01
 y     1.030899E+01     1.152848E+01
 y     1.160824E+01     1.170283E+01
 y     1.240902E+01     1.206048E+01
 y     1.013257E+01     1.128192E+01
 y     1.141863E+01     1.152081E+01
 y     1.208954E+01     1.217063E+01
 y     1.276569E+01     1.270922E+01
 y     1.191840E+01     1.189624E+01
 y     1.272636E+01     1.251651E+01
 y     1.259473E+01     1.265135E+01
 y     1.261154E+01     1.259311E+01
 y     1.301701E+01     1.303304E+01
 y     1.038903E+01     1.236509E+01
 y     1.238631E+01     1.236712E+01
 y     1.160824E+01     1.193995E+01
 y     1.117847E+01     1.171287E+01
 y     1.357344E+01     1.375112E+01
 y     1.164881E+01     1.149714E+01
 y     1.266981E+01     1.190482E+01
 y     1.242922E+01     1.268121E+01
 y     1.181118E+01     1.177650E+01
 y     1.261819E+01     1.247003E+01
 y     1.252453E+01     1.264374E+01
 y     1.200763E+01     1.226610E+01
 y     1.358082E+01     1.323321E+01
 y     1.030565E+01     1.066475E+01
 y     1.276569E+01     1.262943E+01
 y     1.180186E+01     1.200645E+01
 y     1.191171E+01     1.192998E+01
 y     1.185652E+01     1.172351E+01
 y     1.122526E+01     1.151979E+01
 y     1.132661E+01     1.172977E+01
 y     1.195119E+01     1.185289E+01
 y     1.046027E+01     1.074711E+01
 y     1.220608E+01     1.126295E+01
 y     1.175588E+01     1.170119E+01
 y     1.230139E+01     1.257779E+01
 y     1.150289E+01     1.170614E+01
 y     1.193164E+01     1.200718E+01
 y     1.267295E+01     1.243379E+01
 y     1.250581E+01     1.219980E+01
 y     1.040429E+01     1.082835E+01
 y     1.213673E+01     1.232333E+01
 y     1.030899E+01     1.106702E+01
 y     1.165270E+01     1.163195E+01
 y     1.091511E+01     1.136348E+01
 y     1.250618E+01     1.202467E+01
 y     1.287134E+01     1.286755E+01
 y     1.165270E+01     1.102563E+01
 y     1.327079E+01     1.321789E+01
 y     1.197036E+01     1.171604E+01
 y     1.172603E+01     1.241458E+01
 y     1.218076E+01     1.195018E+01
 y     1.306049E+01     1.295325E+01
 y     1.256898E+01     1.282603E+01
 y     1.222097E+01     1.141311E+01
 y     1.115983E+01     1.158652E+01
 y     1.259812E+01     1.270797E+01
 y     1.188450E+01     1.206216E+01
 y     1.173528E+01     1.151579E+01
 y     1.207198E+01     1.187193E+01
 y     1.283468E+01     1.266927E+01
 y     1.335348E+01     1.331482E+01
 y     1.194146E+01     1.141906E+01
 y     1.165183E+01     1.153664E+01
 y     1.264433E+01     1.250236E+01
 y     1.278829E+01     1.252204E+01
 y     1.230139E+01     1.217615E+01
 y     1.316159E+01     1.313418E+01
 y     1.369898E+01     1.343251E+01
 y     1.228996E+01     1.239055E+01
 y     1.269158E+01     1.275671E+01
 y     1.066898E+01     1.132529E+01
 y     1.202874E+01     1.172601E+01
 y     1.126448E+01     1.176070E+01
 y     1.220107E+01     1.202122E+01
 y     1.220107E+01     1.203466E+01
 y     1.248749E+01     1.236457E+01
 y     1.211177E+01     1.209530E+01
 y     1.101454E+01     1.152039E+01
 y     1.154249E+01     1.156767E+01
 y     1.222588E+01     1.195491E+01
 y     1.207198E+01     1.188590E+01
 y     1.100212E+01     1.087926E+01
 y     1.243679E+01     1.194550E+01
 y     1.421429E+01     1.381740E+01
 y     1.208391E+01     1.153049E+01
 y     1.254255E+01     1.251632E+01
 y     1.223077E+01     1.244356E+01
 y     1.203173E+01     1.216545E+01
 y     1.183502E+01     1.169795E+01
 y     1.077898E+01     1.107395E+01
 y     1.156173E+01     1.164211E+01
 y     1.169526E+01     1.233867E+01
 y     1.081980E+01     1.149045E+01
 y     1.122392E+01     1.156576E+01
 y     1.181304E+01     1.206191E+01
 y     1.173608E+01     1.145120E+01
 y     1.256898E+01     1.220311E+01
 y     1.062135E+01     1.152949E+01
 y     1.146427E+01     1.118828E+01
 y     1.158990E+01     1.163602E+01
 y     1.247610E+01     1.219835E+01
 y     1.255673E+01     1.232641E+01
 y     1.190497E+01     1.222264E+01
 y     1.259643E+01     1.263900E+01
 y     1.127722E+01     1.033418E+01
 y     1.168689E+01     1.147828E+01
 y     1.199536E+01     1.204254E+01
 y     1.195119E+01     1.191983E+01
 y     1.140646E+01     1.169623E+01
 y     1.230139E+01     1.198313E+01
 y     1.040429E+01     1.107601E+01
 y     9.625822E+00     1.126818E+01
 y     1.048509E+01     1.079257E+01
 y     1.198160E+01     1.240083E+01
 y     1.030899E+01     1.078120E+01
 y     1.213082E+01     1.202297E+01
 y     1.212270E+01     1.151442E+01
 y     1.276854E+01     1.250427E+01
 y     1.030899E+01     1.103173E+01
 y     1.279358E+01     1.289757E+01
 y     1.136211E+01     1.156906E+01
 y     1.122526E+01     1.119117E+01
 y     1.273670E+01     1.250709E+01
 y     1.348701E+01     1.363519E+01
 y     1.059416E+01     1.077309E+01
 y     1.207255E+01     1.190089E+01
 y     1.242922E+01     1.264055E+01
 y     1.321768E+01     1.318102E+01
 y     1.215478E+01     1.254823E+01
 y     1.295749E+01     1.240252E+01
 y     1.177530E+01     1.199441E+01
 y     1.154249E+01     1.215908E+01
 y     1.148248E+01     1.201306E+01
 y     1.340140E+01     1.342424E+01
 y     1.170768E+01     1.213575E+01
 y     1.188450E+01     1.166359E+01
 y     1.199536E+01     1.249555E+01
 y     1.004329E+01     1.083139E+01
 y     1.030899E+01     1.083543E+01
 y     1.109743E+01     1.117113E+01
 y     1.252453E+01     1.152291E+01
 y     1.282800E+01     1.248598E+01
 y     1.151294E+01     1.193969E+01
 y     1.379019E+01     1.333866E+01
 y     1.181304E+01     1.171611E+01
 y     1.096822E+01     1.083617E+01
 y     1.030899E+01     1.061334E+01
 y     1.181304E+01     1.137906E+01
 y     1.288664E+01     1.279398E+01
 y     1.118582E+01     1.159144E+01
 y     1.202576E+01     1.207928E+01
 y     1.247991E+01     1.251608E+01
 y     1.319002E+01     1.335624E+01
 y     1.254219E+01     1.238920E+01
 y     1.237898E+01     1.256874E+01
 y     1.224530E+01     1.201031E+01
 y     1.012667E+01     1.080448E+01
 y     1.080975E+01     1.080211E+01
 y     1.212215E+01     1.276636E+01
 y     1.257764E+01     1.247060E+01
 y     1.292391E+01     1.285957E+01
 y     1.252453E+01     1.306660E+01
 y     1.238840E+01     1.251228E+01
 y     1.237136E+01     1.209670E+01
 y     1.330302E+01     1.357375E+01
 y     1.334551E+01     1.329201E+01
 y     1.252453E+01     1.274600E+01
 y     1.276283E+01     1.257851E+01
 y     1.169526E+01     1.175293E+01
 y     1.288212E+01     1.269750E+01
 y     1.233271E+01     1.238618E+01
 y     1.286747E+01     1.250249E+01
 y     1.308777E+01     1.295476E+01
 y     1.310216E+01     1.304606E+01
 y     1.302503E+01     1.299702E+01
 y     1.105091E+01     1.133761E+01
 y     1.140758E+01     1.151175E+01
 y     1.317306E+01     1.257362E+01
 y     1.004329E+01     1.078375E+01
 y     1.184940E+01     1.179117E+01
