 train         node      observed        predicted
     y          303    0.132446E+002    0.135249E+002
     y          252    0.119316E+002    0.120055E+002
     y          511    0.127657E+002    0.125689E+002
     y          299    0.119829E+002    0.117367E+002
     y          299    0.117647E+002    0.117367E+002
     y          247    0.117289E+002    0.119277E+002
     y          511    0.122308E+002    0.121389E+002
     y          511    0.123294E+002    0.121982E+002
     y          302    0.116699E+002    0.109920E+002
     y          303    0.116073E+002    0.115526E+002
     y          297    0.127065E+002    0.126545E+002
     y          303    0.116082E+002    0.116860E+002
     y          303    0.118245E+002    0.116860E+002
     y          511    0.129141E+002    0.127400E+002
     y          511    0.128049E+002    0.121354E+002
     y          511    0.108198E+002    0.127625E+002
     y          298    0.129551E+002    0.129100E+002
     y           19    0.109151E+002    0.109076E+002
     y          302    0.118845E+002    0.115563E+002
     y          303    0.117753E+002    0.118967E+002
     y          511    0.125947E+002    0.126800E+002
     y          298    0.129360E+002    0.130187E+002
     y          303    0.120436E+002    0.118745E+002
     y          299    0.111563E+002    0.118208E+002
     y          299    0.112645E+002    0.118208E+002
     y          511    0.122945E+002    0.122742E+002
     y          303    0.107255E+002    0.115607E+002
     y           72    0.123880E+002    0.127182E+002
     y          303    0.128917E+002    0.121910E+002
     y          147    0.136352E+002    0.134465E+002
     y          297    0.103735E+002    0.121849E+002
     y          245    0.115129E+002    0.114079E+002
     y          299    0.120149E+002    0.124939E+002
     y           29    0.110038E+002    0.107840E+002
     y          303    0.130919E+002    0.125288E+002
     y           29    0.107364E+002    0.105548E+002
     y          302    0.124913E+002    0.125473E+002
     y          299    0.122784E+002    0.127156E+002
     y          303    0.121227E+002    0.115658E+002
     y          298    0.129456E+002    0.129467E+002
     y          302    0.125136E+002    0.117706E+002
     y          303    0.126082E+002    0.131880E+002
     y          303    0.100433E+002    0.114523E+002
     y          303    0.140820E+002    0.131999E+002
     y          247    0.118056E+002    0.117289E+002
     y          299    0.113504E+002    0.119313E+002
     y          299    0.119512E+002    0.119313E+002
     y          299    0.118422E+002    0.115846E+002
     y          299    0.130281E+002    0.118760E+002
     y          298    0.123842E+002    0.124704E+002
     y          303    0.108513E+002    0.116159E+002
     y          302    0.119512E+002    0.118401E+002
     y          302    0.116691E+002    0.118401E+002
     y          511    0.110822E+002    0.117335E+002
     y          299    0.128866E+002    0.119279E+002
     y          150    0.105187E+002    0.109117E+002
     y          247    0.116928E+002    0.113647E+002
     y          299    0.118167E+002    0.121979E+002
     y          297    0.124090E+002    0.122925E+002
     y          511    0.135178E+002    0.125921E+002
     y          511    0.127069E+002    0.123820E+002
     y          146    0.144033E+002    0.143779E+002
     y          511    0.132393E+002    0.132146E+002
     y          511    0.132963E+002    0.127146E+002
     y          252    0.126916E+002    0.125035E+002
     y          252    0.134372E+002    0.126713E+002
