 train         node      observed        predicted
     y          247    0.119184E+002    0.116101E+002
     y          247    0.118422E+002    0.116101E+002
     y          299    0.126761E+002    0.127947E+002
     y          303    0.117906E+002    0.117687E+002
     y          302    0.117280E+002    0.113244E+002
     y          299    0.101819E+002    0.115806E+002
     y          303    0.105967E+002    0.117550E+002
     y          297    0.127189E+002    0.128660E+002
     y            8    0.136530E+002    0.132372E+002
     y          302    0.122308E+002    0.120259E+002
     y          150    0.105977E+002    0.114982E+002
     y          150    0.110186E+002    0.115790E+002
     y           72    0.130281E+002    0.129397E+002
     y          303    0.125099E+002    0.121968E+002
     y          297    0.121335E+002    0.125262E+002
     y          302    0.126524E+002    0.132019E+002
     y           72    0.133423E+002    0.128092E+002
     y          146    0.128479E+002    0.134136E+002
     y          299    0.113964E+002    0.119113E+002
     y          303    0.109822E+002    0.119768E+002
     y          297    0.119829E+002    0.117294E+002
     y          297    0.114825E+002    0.117294E+002
     y          299    0.126015E+002    0.124037E+002
     y          302    0.128213E+002    0.124916E+002
     y           72    0.130159E+002    0.123706E+002
     y          150    0.104913E+002    0.109462E+002
     y           28    0.113084E+002    0.117248E+002
     y          302    0.116527E+002    0.121030E+002
     y          302    0.129551E+002    0.124412E+002
     y          245    0.118441E+002    0.116900E+002
     y          303    0.108406E+002    0.115901E+002
     y           72    0.131938E+002    0.129757E+002
     y          299    0.101267E+002    0.116205E+002
     y          146    0.135076E+002    0.138255E+002
     y          296    0.974103E+001    0.106459E+002
     y          302    0.120725E+002    0.120578E+002
     y          299    0.124799E+002    0.125645E+002
     y          296    0.116953E+002    0.119617E+002
     y          299    0.100859E+002    0.115905E+002
     y          299    0.111211E+002    0.111878E+002
     y          150    0.127926E+002    0.127498E+002
     y          302    0.123149E+002    0.129203E+002
     y          303    0.124252E+002    0.128695E+002
     y          303    0.123296E+002    0.129127E+002
     y          303    0.127657E+002    0.124621E+002
     y          302    0.122784E+002    0.119481E+002
     y          302    0.117361E+002    0.116318E+002
     y          150    0.112051E+002    0.100562E+002
     y          303    0.141312E+002    0.127416E+002
     y          299    0.117943E+002    0.113525E+002
     y          303    0.110021E+002    0.119598E+002
     y          302    0.112752E+002    0.113288E+002
     y          303    0.129945E+002    0.123605E+002
     y          303    0.122429E+002    0.116875E+002
     y          303    0.131204E+002    0.124047E+002
     y          146    0.140545E+002    0.140102E+002
     y          303    0.127367E+002    0.126578E+002
     y          299    0.124292E+002    0.122026E+002
     y           72    0.122278E+002    0.127179E+002
     y           72    0.139349E+002    0.137912E+002
     y          299    0.124008E+002    0.121181E+002
     y          296    0.979818E+001    0.103968E+002
     y          303    0.129239E+002    0.123787E+002
     y          299    0.126411E+002    0.125548E+002
     y          299    0.117753E+002    0.118138E+002
     y          299    0.106454E+002    0.110285E+002
     y          303    0.118494E+002    0.120266E+002
     y          303    0.117753E+002    0.121166E+002
     y          303    0.108198E+002    0.119443E+002
     y           29    0.104341E+002    0.109996E+002
     y          299    0.120131E+002    0.113454E+002
     y          303    0.130390E+002    0.115884E+002
     y          146    0.131806E+002    0.134167E+002
     y          303    0.123796E+002    0.120414E+002
     y          303    0.122877E+002    0.127450E+002
     y          510    0.114616E+002    0.115575E+002
     y          303    0.119829E+002    0.117135E+002
     y          302    0.131224E+002    0.127525E+002
     y          303    0.133801E+002    0.125579E+002
     y          303    0.126977E+002    0.117370E+002
     y          303    0.129486E+002    0.127402E+002
     y          299    0.129551E+002    0.123188E+002
     y          303    0.124090E+002    0.122166E+002
     y          247    0.116082E+002    0.115362E+002
     y          298    0.126916E+002    0.129970E+002
     y          303    0.137102E+002    0.133704E+002
     y           72    0.144521E+002    0.141198E+002
     y          298    0.126346E+002    0.125135E+002
     y          299    0.121736E+002    0.123303E+002
     y          302    0.120582E+002    0.116905E+002
     y          303    0.134225E+002    0.123060E+002
     y          303    0.131900E+002    0.124060E+002
     y          297    0.128077E+002    0.127896E+002
     y          303    0.131616E+002    0.130456E+002
     y          150    0.105321E+002    0.110246E+002
     y          297    0.134660E+002    0.128598E+002
     y          302    0.124111E+002    0.124831E+002
     y          298    0.131806E+002    0.130875E+002
     y          302    0.122549E+002    0.119450E+002
     y          299    0.118814E+002    0.118169E+002
     y          303    0.122784E+002    0.124270E+002
     y          303    0.125425E+002    0.126979E+002
     y          303    0.121548E+002    0.128001E+002
     y          303    0.121007E+002    0.114386E+002
     y          299    0.128713E+002    0.118340E+002
     y          146    0.137642E+002    0.134525E+002
     y          297    0.131710E+002    0.119708E+002
     y          297    0.124684E+002    0.124272E+002
     y          299    0.121960E+002    0.110116E+002
     y          296    0.103921E+002    0.109266E+002
     y          298    0.128453E+002    0.128600E+002
     y          302    0.115712E+002    0.116476E+002
     y          303    0.107790E+002    0.110946E+002
     y          150    0.113022E+002    0.110750E+002
     y          150    0.118487E+002    0.114921E+002
     y          511    0.127585E+002    0.125967E+002
     y          299    0.123673E+002    0.120632E+002
     y          302    0.122991E+002    0.122081E+002
     y          298    0.132085E+002    0.134481E+002
     y          303    0.124332E+002    0.115406E+002
     y          299    0.124490E+002    0.117922E+002
     y          302    0.123545E+002    0.119859E+002
     y          297    0.123234E+002    0.120680E+002
     y          302    0.125062E+002    0.124685E+002
     y          303    0.113737E+002    0.112017E+002
     y          302    0.125532E+002    0.122861E+002
     y          299    0.103123E+002    0.113352E+002
     y           19    0.121910E+002    0.127842E+002
     y           28    0.115665E+002    0.119054E+002
     y          297    0.128280E+002    0.126458E+002
     y          302    0.121281E+002    0.117112E+002
     y          296    0.990354E+001    0.113430E+002
     y          303    0.117280E+002    0.119397E+002
     y          299    0.122784E+002    0.126084E+002
     y          303    0.120923E+002    0.118284E+002
     y          303    0.126281E+002    0.126437E+002
     y          303    0.124171E+002    0.121583E+002
     y          303    0.123884E+002    0.119371E+002
     y          303    0.112385E+002    0.119371E+002
     y          303    0.119512E+002    0.114961E+002
     y          302    0.110349E+002    0.114235E+002
     y          299    0.124684E+002    0.124870E+002
     y          299    0.121007E+002    0.118370E+002
     y          303    0.107769E+002    0.116109E+002
     y          299    0.116082E+002    0.118635E+002
     y          150    0.124171E+002    0.118090E+002
     y          299    0.120137E+002    0.117783E+002
     y          303    0.126443E+002    0.122013E+002
     y          303    0.122061E+002    0.122013E+002
     y          299    0.128790E+002    0.136751E+002
     y          303    0.124875E+002    0.122179E+002
     y          297    0.113889E+002    0.124780E+002
     y          302    0.117199E+002    0.112777E+002
     y          303    0.116784E+002    0.120664E+002
     y          299    0.117598E+002    0.117194E+002
     y          150    0.118277E+002    0.109653E+002
     y          303    0.990354E+001    0.120388E+002
     y          299    0.122549E+002    0.115314E+002
     y          302    0.954688E+001    0.114143E+002
     y          298    0.123437E+002    0.123204E+002
     y          510    0.128739E+002    0.128918E+002
     y          302    0.121410E+002    0.120573E+002
     y          247    0.110021E+002    0.115893E+002
     y          247    0.109508E+002    0.115893E+002
     y          302    0.123239E+002    0.124556E+002
     y          299    0.121495E+002    0.112852E+002
     y          299    0.930574E+001    0.112117E+002
     y          299    0.123758E+002    0.121310E+002
     y          299    0.121007E+002    0.121151E+002
     y          299    0.107893E+002    0.116862E+002
     y          299    0.116944E+002    0.116862E+002
     y          303    0.117906E+002    0.117973E+002
     y          296    0.107255E+002    0.116879E+002
     y          303    0.125245E+002    0.125178E+002
     y          247    0.127069E+002    0.118407E+002
     y          298    0.132621E+002    0.126289E+002
     y          298    0.127099E+002    0.126289E+002
     y          511    0.131519E+002    0.125388E+002
     y          303    0.103090E+002    0.115937E+002
     y          511    0.129865E+002    0.122348E+002
     y          299    0.123884E+002    0.125097E+002
     y          146    0.132621E+002    0.133008E+002
     y          150    0.104688E+002    0.110088E+002
     y          247    0.119704E+002    0.114364E+002
     y          297    0.127338E+002    0.123897E+002
     y          302    0.124292E+002    0.120577E+002
     y          511    0.127038E+002    0.129496E+002
     y          303    0.122061E+002    0.121573E+002
     y          511    0.129396E+002    0.123494E+002
     y          297    0.123884E+002    0.123301E+002
     y           28    0.111982E+002    0.113424E+002
     y          303    0.125602E+002    0.125125E+002
     y          511    0.123652E+002    0.121318E+002
     y          302    0.118494E+002    0.118883E+002
     y          296    0.104913E+002    0.113109E+002
     y          298    0.126379E+002    0.124419E+002
     y          299    0.115029E+002    0.115339E+002
     y          511    0.125947E+002    0.124727E+002
     y          299    0.127455E+002    0.122169E+002
     y          511    0.119050E+002    0.123023E+002
     y          511    0.118914E+002    0.124158E+002
     y          302    0.120611E+002    0.114673E+002
     y          303    0.115029E+002    0.115301E+002
     y          298    0.135606E+002    0.134002E+002
     y          299    0.125811E+002    0.122790E+002
     y          303    0.124684E+002    0.127812E+002
     y          511    0.132085E+002    0.123046E+002
     y          511    0.128584E+002    0.124621E+002
     y           72    0.131244E+002    0.130568E+002
     y          297    0.129239E+002    0.130433E+002
     y          299    0.118845E+002    0.116059E+002
     y          245    0.112253E+002    0.112190E+002
     y          511    0.124490E+002    0.124586E+002
     y          303    0.137642E+002    0.133164E+002
     y          146    0.146419E+002    0.145953E+002
     y          299    0.120430E+002    0.113714E+002
     y          297    0.121389E+002    0.119957E+002
     y          511    0.129239E+002    0.127937E+002
     y          511    0.136559E+002    0.123884E+002
     y          511    0.127513E+002    0.123611E+002
     y          303    0.121242E+002    0.123000E+002
     y          511    0.134588E+002    0.124350E+002
     y          302    0.121558E+002    0.120059E+002
     y          299    0.124875E+002    0.123148E+002
     y          299    0.111125E+002    0.114344E+002
     y          299    0.124987E+002    0.114344E+002
     y          299    0.123194E+002    0.128615E+002
     y          511    0.124292E+002    0.123011E+002
     y          302    0.132357E+002    0.127267E+002
     y          511    0.122784E+002    0.124091E+002
     y          299    0.124392E+002    0.118088E+002
     y          511    0.128967E+002    0.126484E+002
     y          511    0.125776E+002    0.120851E+002
     y          303    0.947278E+001    0.112098E+002
     y          297    0.131274E+002    0.126997E+002
     y          511    0.121884E+002    0.120960E+002
     y          511    0.137456E+002    0.122021E+002
     y          297    0.133909E+002    0.124131E+002
     y          299    0.101267E+002    0.111161E+002
     y          511    0.121548E+002    0.126332E+002
     y          511    0.126600E+002    0.126332E+002
     y          511    0.123673E+002    0.124096E+002
     y          511    0.125245E+002    0.121109E+002
     y          510    0.128688E+002    0.123282E+002
     y          511    0.115806E+002    0.125685E+002
     y          297    0.121548E+002    0.121886E+002
     y          511    0.126443E+002    0.125955E+002
     y          299    0.126338E+002    0.128109E+002
     y          302    0.122061E+002    0.122489E+002
     y          299    0.114404E+002    0.116205E+002
     y          302    0.116527E+002    0.112114E+002
     y          303    0.127455E+002    0.122502E+002
     y          506    0.108337E+002    0.115269E+002
     y          511    0.126916E+002    0.125145E+002
     y          511    0.114721E+002    0.122775E+002
     y          298    0.122308E+002    0.120709E+002
     y          303    0.133047E+002    0.122384E+002
     y          511    0.114350E+002    0.121147E+002
     y          303    0.114076E+002    0.115956E+002
     y          511    0.126443E+002    0.125250E+002
     y          511    0.123458E+002    0.123564E+002
     y          303    0.123884E+002    0.123856E+002
     y          245    0.107144E+002    0.113753E+002
     y          511    0.127069E+002    0.121798E+002
     y          303    0.126603E+002    0.124099E+002
     y          303    0.114076E+002    0.115225E+002
     y          511    0.121469E+002    0.125843E+002
     y          303    0.130741E+002    0.124419E+002
     y          511    0.125523E+002    0.124775E+002
     y          511    0.122643E+002    0.123067E+002
     y          246    0.118494E+002    0.118796E+002
     y          246    0.118671E+002    0.118796E+002
     y          511    0.123172E+002    0.115039E+002
     y          511    0.124332E+002    0.115039E+002
     y          246    0.130498E+002    0.124493E+002
     y          245    0.114927E+002    0.112621E+002
     y          511    0.128213E+002    0.128433E+002
     y          511    0.134372E+002    0.125161E+002
     y          245    0.110509E+002    0.116402E+002
     y          245    0.979818E+001    0.116402E+002
     y          511    0.114076E+002    0.120010E+002
     y          511    0.123014E+002    0.120010E+002
     y          303    0.112516E+002    0.107135E+002
     y          302    0.100213E+002    0.113694E+002
     y          252    0.119016E+002    0.120329E+002
     y          303    0.118350E+002    0.125506E+002
     y          511    0.125602E+002    0.124657E+002
     y          511    0.121007E+002    0.124181E+002
     y          511    0.126082E+002    0.125781E+002
     y          511    0.110822E+002    0.120990E+002
     y           29    0.112580E+002    0.111917E+002
     y          302    0.985225E+001    0.123786E+002
     y           22    0.127899E+002    0.125773E+002
     y          245    0.118056E+002    0.118571E+002
     y          511    0.126729E+002    0.120559E+002
     y          299    0.116699E+002    0.118979E+002
     y          511    0.125099E+002    0.118332E+002
     y          303    0.114076E+002    0.117006E+002
     y          299    0.119954E+002    0.115434E+002
     y          511    0.112734E+002    0.119409E+002
     y          511    0.118636E+002    0.118174E+002
     y          296    0.123415E+002    0.120231E+002
     y           29    0.112898E+002    0.113013E+002
     y          511    0.123239E+002    0.120422E+002
     y          303    0.129945E+002    0.127746E+002
     y          303    0.116173E+002    0.115073E+002
     y          299    0.109151E+002    0.115822E+002
     y           60    0.112253E+002    0.117050E+002
     y          510    0.132621E+002    0.123282E+002
     y          297    0.125624E+002    0.121848E+002
     y          303    0.135211E+002    0.126964E+002
     y          511    0.116527E+002    0.119771E+002
     y          150    0.104913E+002    0.100948E+002
     y          511    0.110021E+002    0.123768E+002
     y          297    0.120725E+002    0.122900E+002
     y          297    0.121007E+002    0.122900E+002
     y          296    0.107790E+002    0.112305E+002
     y          299    0.116082E+002    0.120164E+002
     y          511    0.116096E+002    0.120246E+002
     y          511    0.126281E+002    0.126482E+002
     y          302    0.109242E+002    0.113063E+002
     y          302    0.128866E+002    0.126794E+002
     y          296    0.107579E+002    0.111220E+002
     y          150    0.123014E+002    0.112421E+002
     y          303    0.104913E+002    0.115238E+002
     y          303    0.121308E+002    0.115238E+002
     y          302    0.121808E+002    0.115302E+002
     y          303    0.109151E+002    0.123411E+002
     y          299    0.111346E+002    0.120199E+002
     y          299    0.102036E+002    0.116466E+002
     y          298    0.131163E+002    0.129816E+002
     y          297    0.128158E+002    0.124542E+002
     y          296    0.124292E+002    0.115485E+002
     y          303    0.115796E+002    0.119249E+002
     y          299    0.124913E+002    0.118234E+002
     y          303    0.128739E+002    0.118714E+002
     y          302    0.119512E+002    0.117695E+002
     y          303    0.131750E+002    0.119550E+002
     y          299    0.126082E+002    0.124545E+002
     y          303    0.113504E+002    0.116700E+002
     y          303    0.123458E+002    0.116700E+002
     y          511    0.979818E+001    0.122301E+002
     y           72    0.134730E+002    0.133073E+002
     y          302    0.116536E+002    0.119232E+002
     y          302    0.125425E+002    0.126958E+002
     y          302    0.102400E+002    0.115657E+002
     y          303    0.123884E+002    0.121123E+002
     y          297    0.121808E+002    0.124144E+002
     y          297    0.107342E+002    0.121202E+002
     y          247    0.119954E+002    0.114364E+002
     y          303    0.132963E+002    0.130714E+002
     y          296    0.106454E+002    0.114255E+002
     y          303    0.122667E+002    0.121097E+002
     y           72    0.133614E+002    0.131721E+002
     y          303    0.124875E+002    0.124488E+002
     y          511    0.131098E+002    0.134820E+002
     y          150    0.124681E+002    0.123266E+002
     y          299    0.110974E+002    0.114074E+002
     y           60    0.115617E+002    0.117445E+002
     y          302    0.110021E+002    0.114986E+002
     y          299    0.125422E+002    0.122607E+002
     y          299    0.119704E+002    0.122607E+002
     y          302    0.112051E+002    0.118476E+002
     y          302    0.123014E+002    0.120327E+002
     y          511    0.113386E+002    0.123833E+002
     y          506    0.117753E+002    0.119054E+002
     y          303    0.116527E+002    0.116404E+002
     y          297    0.126915E+002    0.126624E+002
     y          299    0.120137E+002    0.118967E+002
     y          299    0.122784E+002    0.118967E+002
     y          303    0.119518E+002    0.122471E+002
     y          297    0.128479E+002    0.127450E+002
     y          298    0.123127E+002    0.123362E+002
     y           72    0.129735E+002    0.128930E+002
     y          303    0.121960E+002    0.120587E+002
     y          511    0.115376E+002    0.115146E+002
     y          303    0.121548E+002    0.121748E+002
     y          302    0.997585E+001    0.109538E+002
     y          511    0.103090E+002    0.121672E+002
     y          302    0.115019E+002    0.116507E+002
     y          146    0.138595E+002    0.138661E+002
     y          296    0.110021E+002    0.115840E+002
     y          511    0.119050E+002    0.118459E+002
     y          302    0.130815E+002    0.131325E+002
     y          147    0.130498E+002    0.129181E+002
     y          303    0.132177E+002    0.125626E+002
     y          298    0.123926E+002    0.128388E+002
     y          303    0.130036E+002    0.132461E+002
     y          302    0.125773E+002    0.121580E+002
     y          511    0.121007E+002    0.115692E+002
     y          303    0.131224E+002    0.127013E+002
     y           72    0.128077E+002    0.129007E+002
     y          302    0.130970E+002    0.127816E+002
     y          302    0.103418E+002    0.113052E+002
     y          146    0.142557E+002    0.130579E+002
     y          146    0.132751E+002    0.130579E+002
     y          147    0.134800E+002    0.133745E+002
     y            8    0.142512E+002    0.129638E+002
     y          303    0.128992E+002    0.124551E+002
     y           72    0.140246E+002    0.136155E+002
     y          511    0.127571E+002    0.118616E+002
     y          303    0.120137E+002    0.123408E+002
     y          303    0.127799E+002    0.124995E+002
     y          296    0.115908E+002    0.116518E+002
     y          296    0.112898E+002    0.115828E+002
     y          511    0.126761E+002    0.123470E+002
     y          302    0.115899E+002    0.116395E+002
     y          302    0.123194E+002    0.121194E+002
     y          299    0.123458E+002    0.117095E+002
     y           28    0.113504E+002    0.113375E+002
     y          299    0.124292E+002    0.125917E+002
     y           62    0.119480E+002    0.115540E+002
     y          510    0.117199E+002    0.115237E+002
     y          303    0.109331E+002    0.118537E+002
     y           28    0.116527E+002    0.116187E+002
     y          299    0.985225E+001    0.113490E+002
     y          298    0.124837E+002    0.123879E+002
     y           29    0.997585E+001    0.987586E+001
     y          302    0.123652E+002    0.119976E+002
     y           28    0.121276E+002    0.122471E+002
     y          299    0.127367E+002    0.125229E+002
     y          303    0.116527E+002    0.118107E+002
     y          297    0.129551E+002    0.129613E+002
     y          302    0.112898E+002    0.117489E+002
     y          297    0.111714E+002    0.119100E+002
     y          303    0.112898E+002    0.116438E+002
     y          299    0.103735E+002    0.117167E+002
     y          299    0.118494E+002    0.117167E+002
     y          245    0.114076E+002    0.114581E+002
     y          299    0.124681E+002    0.125231E+002
     y          296    0.122056E+002    0.115853E+002
     y          299    0.116911E+002    0.114797E+002
     y          246    0.120436E+002    0.124265E+002
     y          510    0.117240E+002    0.117228E+002
     y          303    0.129239E+002    0.133640E+002
     y          302    0.123884E+002    0.126872E+002
     y          303    0.123149E+002    0.120442E+002
     y           72    0.127966E+002    0.127488E+002
     y          150    0.103657E+002    0.104675E+002
     y          303    0.113504E+002    0.114998E+002
     y          303    0.130170E+002    0.133248E+002
     y          299    0.120137E+002    0.118598E+002
     y          299    0.120258E+002    0.124653E+002
     y          511    0.119316E+002    0.122857E+002
     y          303    0.999884E+001    0.118358E+002
     y          303    0.104043E+002    0.118358E+002
     y          147    0.137102E+002    0.135621E+002
     y          302    0.120197E+002    0.121042E+002
     y           29    0.111982E+002    0.104658E+002
     y          296    0.114616E+002    0.105717E+002
     y           28    0.103562E+002    0.109919E+002
     y          511    0.123863E+002    0.125829E+002
     y          297    0.128158E+002    0.125531E+002
     y          299    0.131422E+002    0.120863E+002
     y          296    0.101267E+002    0.103270E+002
     y          302    0.122603E+002    0.117439E+002
     y          511    0.122356E+002    0.122852E+002
     y          511    0.128479E+002    0.125055E+002
     y          511    0.128992E+002    0.123943E+002
     y          511    0.134120E+002    0.120223E+002
     y          511    0.118561E+002    0.125573E+002
     y          511    0.126572E+002    0.119997E+002
     y          299    0.114975E+002    0.120942E+002
     y          299    0.123673E+002    0.120942E+002
     y          299    0.128610E+002    0.129775E+002
     y          302    0.104631E+002    0.116599E+002
     y          511    0.126182E+002    0.125922E+002
     y          299    0.123661E+002    0.121326E+002
     y          297    0.122549E+002    0.127716E+002
     y          511    0.127513E+002    0.123778E+002
     y          298    0.117981E+002    0.120733E+002
     y          511    0.123673E+002    0.122852E+002
     y          511    0.114350E+002    0.122852E+002
     y          303    0.100433E+002    0.118818E+002
     y          303    0.104631E+002    0.118818E+002
     y          303    0.107996E+002    0.118818E+002
     y          303    0.990354E+001    0.112563E+002
     y          299    0.122056E+002    0.122303E+002
     y          147    0.132357E+002    0.132541E+002
     y          299    0.126082E+002    0.123667E+002
     y          299    0.112898E+002    0.123667E+002
     y          302    0.119640E+002    0.119556E+002
     y          511    0.136762E+002    0.124515E+002
     y          303    0.134113E+002    0.137938E+002
     y          297    0.123393E+002    0.120790E+002
     y          303    0.124875E+002    0.129204E+002
     y          511    0.125497E+002    0.123964E+002
     y          303    0.127939E+002    0.130941E+002
     y          511    0.128077E+002    0.128583E+002
     y          297    0.124090E+002    0.121886E+002
     y          299    0.115617E+002    0.115640E+002
     y          297    0.116953E+002    0.115355E+002
     y          299    0.108875E+002    0.115019E+002
     y          303    0.125117E+002    0.116595E+002
     y          297    0.122308E+002    0.123142E+002
     y           27    0.120839E+002    0.116297E+002
     y           72    0.131787E+002    0.130253E+002
     y          247    0.120668E+002    0.120497E+002
     y          511    0.129551E+002    0.119989E+002
     y          298    0.123673E+002    0.123478E+002
     y          511    0.131422E+002    0.128512E+002
     y          247    0.121415E+002    0.120180E+002
     y           27    0.123926E+002    0.120057E+002
     y          303    0.128613E+002    0.126684E+002
     y          246    0.123014E+002    0.119845E+002
     y          511    0.126115E+002    0.126484E+002
     y          511    0.112709E+002    0.122501E+002
     y          511    0.127249E+002    0.128619E+002
     y          511    0.126603E+002    0.124857E+002
     y          511    0.118130E+002    0.121074E+002
     y          303    0.126761E+002    0.128326E+002
     y          303    0.125676E+002    0.128326E+002
     y           62    0.119184E+002    0.113138E+002
     y          247    0.124372E+002    0.126909E+002
     y          511    0.126182E+002    0.123367E+002
     y          302    0.112253E+002    0.123212E+002
     y          245    0.115425E+002    0.113707E+002
     y          511    0.132267E+002    0.126413E+002
     y          150    0.103418E+002    0.112925E+002
     y          303    0.113862E+002    0.119984E+002
     y          511    0.133847E+002    0.128533E+002
     y          511    0.128344E+002    0.129439E+002
     y          511    0.121389E+002    0.123462E+002
     y          302    0.121548E+002    0.116781E+002
     y          303    0.121389E+002    0.119411E+002
     y          299    0.119829E+002    0.118374E+002
     y          510    0.107579E+002    0.118056E+002
     y          511    0.127939E+002    0.123920E+002
     y          506    0.126839E+002    0.121214E+002
     y          506    0.120737E+002    0.121214E+002
     y          252    0.122737E+002    0.118656E+002
     y          245    0.111563E+002    0.116777E+002
     y           62    0.120725E+002    0.116645E+002
     y          511    0.135008E+002    0.121230E+002
     y          247    0.109882E+002    0.119622E+002
     y          247    0.116953E+002    0.119622E+002
     y           60    0.115899E+002    0.114884E+002
     y          303    0.118879E+002    0.122337E+002
     y          511    0.130170E+002    0.122857E+002
     y          303    0.123673E+002    0.123098E+002
     y           60    0.115229E+002    0.117445E+002
     y          298    0.123588E+002    0.123335E+002
     y          303    0.113908E+002    0.119160E+002
     y          511    0.127994E+002    0.127622E+002
     y          146    0.141376E+002    0.144363E+002
     y          247    0.119923E+002    0.117997E+002
     y          299    0.128347E+002    0.124312E+002
     y          303    0.105967E+002    0.123238E+002
     y          299    0.122923E+002    0.123886E+002
     y          302    0.129480E+002    0.132151E+002
     y          511    0.111563E+002    0.128349E+002
     y          297    0.136530E+002    0.131218E+002
     y          302    0.119326E+002    0.122118E+002
     y          299    0.112898E+002    0.116465E+002
     y          510    0.116699E+002    0.115575E+002
     y          303    0.123758E+002    0.118153E+002
     y          303    0.113794E+002    0.121475E+002
     y          297    0.115464E+002    0.122809E+002
     y          303    0.129480E+002    0.122228E+002
     y          245    0.114404E+002    0.114040E+002
     y          245    0.110974E+002    0.114115E+002
     y          296    0.128022E+002    0.119953E+002
     y          245    0.114186E+002    0.114040E+002
     y          247    0.120895E+002    0.116101E+002
     y          303    0.133847E+002    0.132622E+002
     y           72    0.136820E+002    0.135176E+002
     y          302    0.132621E+002    0.130838E+002
     y          302    0.124875E+002    0.125636E+002
     y          297    0.127129E+002    0.124766E+002
     y          511    0.122086E+002    0.123038E+002
     y          297    0.105967E+002    0.118381E+002
     y          303    0.129831E+002    0.129593E+002
     y          296    0.123884E+002    0.107115E+002
     y          511    0.110822E+002    0.118310E+002
     y          303    0.132708E+002    0.133768E+002
     y          303    0.110038E+002    0.121964E+002
     y          245    0.120436E+002    0.119206E+002
     y          245    0.114721E+002    0.114040E+002
     y          245    0.114825E+002    0.114040E+002
     y          303    0.125425E+002    0.121755E+002
     y           72    0.143041E+002    0.139959E+002
     y          303    0.120137E+002    0.118473E+002
     y          303    0.107740E+002    0.118473E+002
     y          298    0.109151E+002    0.121978E+002
     y          299    0.116953E+002    0.118620E+002
     y          150    0.121808E+002    0.118407E+002
     y          303    0.123458E+002    0.121815E+002
     y          303    0.119184E+002    0.119679E+002
     y          299    0.117753E+002    0.117050E+002
     y          299    0.120076E+002    0.114606E+002
     y          297    0.125947E+002    0.123322E+002
     y          302    0.117361E+002    0.115838E+002
     y          297    0.127513E+002    0.127461E+002
     y          303    0.130919E+002    0.125101E+002
     y          299    0.108396E+002    0.111255E+002
     y          303    0.117321E+002    0.117377E+002
     y          302    0.114564E+002    0.116510E+002
     y          303    0.117361E+002    0.115789E+002
     y          299    0.117753E+002    0.121566E+002
     y          302    0.118314E+002    0.119268E+002
     y           72    0.128347E+002    0.132178E+002
     y          297    0.131993E+002    0.126313E+002
     y          298    0.124684E+002    0.127428E+002
     y          303    0.121007E+002    0.124718E+002
     y          299    0.992823E+001    0.111022E+002
     y          299    0.122061E+002    0.120441E+002
     y          299    0.124875E+002    0.119298E+002
     y          296    0.112772E+002    0.113440E+002
     y          302    0.124568E+002    0.124623E+002
     y          297    0.123884E+002    0.118377E+002
     y          302    0.124875E+002    0.123395E+002
     y          303    0.128213E+002    0.116847E+002
     y          150    0.113022E+002    0.108080E+002
     y          303    0.125099E+002    0.123287E+002
     y          303    0.113679E+002    0.112019E+002
     y          303    0.124607E+002    0.112019E+002
     y          299    0.126916E+002    0.128747E+002
     y          302    0.121090E+002    0.123464E+002
     y          303    0.132355E+002    0.130832E+002
     y          298    0.121548E+002    0.123641E+002
     y          299    0.126182E+002    0.119099E+002
     y          303    0.118636E+002    0.114244E+002
     y          299    0.119120E+002    0.120689E+002
     y          303    0.111273E+002    0.114399E+002
     y          303    0.126281E+002    0.126287E+002
     y          302    0.114086E+002    0.121733E+002
     y          303    0.125425E+002    0.128930E+002
     y          303    0.122784E+002    0.121776E+002
     y          302    0.130919E+002    0.126363E+002
     y          302    0.131022E+002    0.128713E+002
     y           29    0.968041E+001    0.986803E+001
     y          246    0.120317E+002    0.124265E+002
     y          302    0.115991E+002    0.110497E+002
     y          150    0.119823E+002    0.113579E+002
     y          296    0.982558E+001    0.108003E+002
     y          245    0.114616E+002    0.117387E+002
     y          302    0.105454E+002    0.111118E+002
     y          302    0.124008E+002    0.116333E+002
     y          302    0.113504E+002    0.116640E+002
     y          296    0.125062E+002    0.117646E+002
     y          296    0.114917E+002    0.117646E+002
     y          303    0.121002E+002    0.116125E+002
     y          302    0.101267E+002    0.111246E+002
     y          247    0.118530E+002    0.121021E+002
     y          511    0.121705E+002    0.120032E+002
     y          511    0.125716E+002    0.120032E+002
     y          511    0.126281E+002    0.124146E+002
     y          511    0.123172E+002    0.124146E+002
     y          302    0.117361E+002    0.114981E+002
     y          302    0.109367E+002    0.114981E+002
     y          302    0.115425E+002    0.116689E+002
     y          303    0.114876E+002    0.118132E+002
     y          511    0.125062E+002    0.123952E+002
     y          303    0.122877E+002    0.116378E+002
     y          302    0.124292E+002    0.124123E+002
     y          303    0.118494E+002    0.116742E+002
     y          299    0.127426E+002    0.123229E+002
     y          303    0.111634E+002    0.116899E+002
     y          511    0.125209E+002    0.120759E+002
     y          511    0.121808E+002    0.120759E+002
     y           72    0.130070E+002    0.126123E+002
     y          302    0.121756E+002    0.115558E+002
     y          299    0.123669E+002    0.118521E+002
     y           62    0.112898E+002    0.115583E+002
     y          302    0.123028E+002    0.109381E+002
     y          511    0.131382E+002    0.127901E+002
